"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist.1","X1.1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","csbool","csbooln","edu_nonoverlap_half","nuc_overlap_half","halfsymvolrat3","edu_overlap_exp","edu_nonoverlap_exp","nuc_overlap_exp","nuc_nonoverlap_exp","halfchisquare","halfchisquarenuc"
"64","39 tentacle middle 1.txt",64,64,1,535333.188,89704.992,3252048,435836,146562826240,45067.855,7261.549,47254,11526,60912,530.47,322.865,8.522,105.463,54.384,102.815,528.584,321.038,8.52,110,20,1,882,677,16,918044,9559,908485,1.69704591526278,"39 tentacle middle 1.txt",64,392771,0.733694470666743,268,85,22,0.317164179104478,183,74.8678924788318,0.000500622800916277,10.1321075211682,392771,0.120776507603824,2287,1476,1805,811,638.891306339882,0.00427210576752062,172.108693660118,193.132107521168,1.90276119608362,1648.10869366012,64.3367253676579,0.279357807756835,"False","True",246,482,0.139678903878418,37.4339462394159,230.566053760584,319.445653169941,1967.55434683006,7.39652588645139,96.14785932598
"65","39 tentacle middle 2.txt",65,65,1,548670.75,87632.898,3333071,428411,145829199872,43752.203,7414.874,45164,10780,60060,343.995,503.051,8.975,115.631,60.028,114.486,344.308,506.223,9.004,156,2,1,452,1016,17,1050754,12305,1038449,1.89266331401847,"39 tentacle middle 2.txt",65,449873,0.819932536954084,264,108,46,0.409090909090909,156,82.2516340035961,0.000481162883204545,25.7483659964039,449873,0.134972522337508,2072,1204,1557,868,645.550703240345,0.00377639959848415,222.449296759655,181.748365996404,11.7081485739793,1426.44929675965,111.343566303406,0.311559219710591,"True","True",218,515,0.155779609855296,41.125817001798,222.874182998202,322.775351620173,1749.22464837983,0.684279114884139,135.60070582523
"66","39 tentacle middle 3.txt",66,66,1,450393.25,71670.391,2736054,335014,119084359680,43524.125,8007.164,45102,11160,59740,676.751,266.013,9.48,90.689,43.596,90.096,677.359,267.177,9.493,244,88,1,777,520,18,948940,7879,941061,2.08942074509332,"39 tentacle middle 3.txt",66,386882,0.85898711847924,186,79,35,0.424731182795699,107,63.9743755057466,0.000412972441305459,15.0256244942534,386882,0.141401448948011,1619,809,1137,810,556.852225504321,0.0035946364649115,253.147774495679,122.025624494253,5.37923989214345,1062.14777449568,175.416391561021,0.34394825540724,"True","True",151,482,0.17197412770362,31.9871877528733,154.012812247127,278.426112752161,1340.57388724784,0.342707942657087,179.758844717237
"67","39 tentacle tip 1.txt",67,67,1,462455.188,82374.539,2809328,379894,125412704256,44641.531,8115.628,47521,10390,60264,502.054,484.838,8.562,121.09,64.107,122.396,508.157,489.378,8.496,18,84,1,959,773,16,788210,8397,779813,1.68624554386013,"39 tentacle tip 1.txt",67,314592,0.680264830329896,218,89,45,0.408256880733945,129,60.5124193401411,0.000471397025391355,28.4875806598589,314592,0.111981228251027,1831,1176,1451,655,508.24880647614,0.00395930253895216,146.75119352386,157.487580659859,18.5642240474378,1322.75119352386,58.6539276120304,0.277579905230005,"True","True",173,380,0.138789952615003,30.2562096700706,187.743790329929,254.12440323807,1576.87559676193,8.34247057233124,72.3981760982674
"68","39 tentacle tip 3.txt",68,68,1,512827.781,80590.156,3115332,382212,137173721088,44031.816,7987.346,46629,11838,60546,532.786,621.358,9.5,108.217,45.223,105.385,539.467,624.1,9.48,221,216,1,787,624,18,787797,11196,776601,1.51435048718626,"39 tentacle tip 3.txt",68,326639,0.636937022723424,163,55,27,0.337423312883436,108,40.6332175832303,0.000317845495191689,14.3667824167697,326639,0.104848857200452,1773,1114,1373,659,441.979722546425,0.00345730099984579,217.020277453575,122.36678241677,6.76646561182325,1331.02027745357,141.945734894452,0.249283543455401,"True","True",136,400,0.1246417717277,20.3166087916151,142.683391208385,220.989861273213,1552.01013872679,2.51163617512414,165.652155184309
"69","40 tentacle base 1.txt",69,69,1,400456.906,81388.977,2432700,424850,104938250240,43136.535,6601.259,43652,12303,58995,522.28,728.636,6.5,87.104,40.704,84.285,518.82,727.034,6.499,152,489,1,788,428,12,1258276,6252,1252024,3.12648872136069,"40 tentacle base 1.txt",69,540680,1.35015776204394,170,103,60,0.605882352941176,67,87.4929419986024,0.000424515091269271,15.5070580013976,540680,0.222255107493731,1777,567,964,1210,914.558576067744,0.00443743127756174,295.441423932256,82.5070580013976,5.66296167232918,862.441423932256,196.647789486215,0.514664364697661,"True","True",110,813,0.257332182348831,43.7464709993012,126.253529000699,457.279288033872,1319.72071196613,8.13125744653941,372.599416088821
"70","40 tentacle base 2.txt",70,70,1,421322.719,85378.75,2559456,443406,119546658816,46707.84,6499.034,49251,8982,58489,635.064,580.422,6.5,83.515,36.704,81.242,640.074,582.419,6.527,280,342,1,724,539,12,638959,1078,637881,1.5139962105865,"40 tentacle base 2.txt",70,292646,0.694588700781645,139,39,11,0.280575539568345,100,34.6423064119875,0.000329913374550305,4.35769358801245,292646,0.114339140817424,1926,1317,1550,609,480.007785248115,0.00457131769340926,128.992214751885,104.357693588012,0.730124477298812,1445.99221475188,46.1709750120328,0.249225225985522,"False","True",128,376,0.124612612992761,17.3211532059938,121.678846794006,240.003892624058,1685.99610737594,2.63521191253367,88.0307465699806
"71","40 tentacle base 3.txt",71,71,1,393254.188,69333.82,2388945,340444,99848732672,41796.164,6239.417,42041,9017,58829,290.805,655.311,8.065,78.704,39.886,72.011,288.095,661.546,7.999,72,238,1,426,780,15,1075435,11812,1063623,2.70467049673226,"40 tentacle base 3.txt",71,460280,1.17043890197553,155,103,49,0.664516129032258,52,69.0101969697921,0.000394147105688293,33.9898030302079,460280,0.19267082331322,1531,546,874,985,681.642655230656,0.00389315625037921,303.357344769344,85.9898030302079,30.1764934518439,849.357344769344,243.353173018705,0.445227077224465,"True","True",106,657,0.222613538612233,34.5050984848961,120.494901515104,340.821327615328,1190.17867238467,7.8326783693574,377.312685204052
"72","40 tentacle middle 1.txt",72,72,1,443845.562,86290.812,2696278,435888,113048313856,41927.543,7047.803,42231,11994,59637,712.994,502.266,6.94,94.305,42.829,91.648,713.518,499.458,6.996,409,85,1,537,849,13,1334831,10386,1324445,2.98402217661467,"40 tentacle middle 1.txt",72,578093,1.30246430176089,195,136,88,0.697435897435897,59,95.7864044434587,0.000439342006983952,40.2135955565413,578093,0.214404078511192,1843,508,904,1335,905.304325073305,0.00415234522498166,429.695674926695,99.2135955565413,33.1822142017916,937.695674926695,400.858218317589,0.491212330479275,"True","True",107,939,0.245606165239638,47.8932022217294,147.106797778271,452.652162536652,1390.34783746335,44.5209036119488,692.677766984831
"73","40 tentacle middle 2.txt",73,73,1,318680.031,63684.391,1935921,315401,88562343936,45746.879,7033.14,47929,7680,59017,650.754,454.715,7,74.087,33.311,72.172,652.913,452.534,7.001,449,84,1,380,736,13,510139,828,509311,1.59818925083511,"40 tentacle middle 2.txt",73,233446,0.732540408219052,108,37,11,0.342592592592593,71,28.4131366930779,0.000338897921093776,8.58686330692213,233446,0.12058653219837,1438,873,1076,565,378.315653376352,0.00451236306048935,186.684346623648,79.5868633069221,3.52153723865539,1059.68434662365,125.009743466555,0.26308459900998,"False","True",97,362,0.13154229950499,14.2065683465389,93.7934316534611,189.157826688176,1248.84217331182,0.833380140358865,181.855504489259
"74","40 tentacle middle 3.txt",74,74,1,348971.344,60936.086,2119935,302132,87953285120,41488.672,6985.931,41798,7825,57982,802.923,652.732,8.006,69.687,29.167,69.481,800.446,648.695,7.983,620,332,1,400,592,15,1114218,8991,1105227,3.16709958855533,"40 tentacle middle 3.txt",74,461188,1.32156409954394,145,109,63,0.751724137931034,36,75.5956739239647,0.000415506896176553,33.4043260760353,461188,0.217548179543241,1363,386,696,977,710.599334885268,0.00390576482405959,266.400665114732,69.4043260760353,30.8382657337742,652.400665114732,208.654268502579,0.521349475337687,"True","True",82,667,0.260674737668844,37.7978369619823,107.202163038018,355.299667442634,1007.70033255737,22.7286237883692,369.865807245649
"75","40 tentacle tip 1.txt",75,75,1,324064.219,63707.57,1968629,321170,92785180672,47131.879,6432.072,49692,10189,60389,424.048,594.869,7,81.311,38.147,80.121,421.981,611.125,7.011,269,230,1,399,728,13,586169,2827,583342,1.80008148323219,"40 tentacle tip 1.txt",75,241691,0.745812051530441,118,54,34,0.457627118644068,64,34.9656314115052,0.000364125358745638,19.0343685884948,241691,0.122771228098336,1301,717,869,584,385.510902257358,0.00401463637057691,198.489097742642,83.0343685884948,14.7251488776904,915.489097742642,145.231482481489,0.296318910266993,"True","True",84,432,0.148159455133496,17.4828157057526,100.517184294247,192.755451128679,1108.24454887132,18.3190244525055,348.593372933442
"76","40 tentacle tip 2.txt",76,76,1,310736.406,60459.523,1887665,308329,87304863744,46250.188,7193.95,49443,9172,58931,784.387,350.984,7,76.503,36.326,73.844,790.174,367.723,7.011,642,5,1,296,695,13,595214,10676,584538,1.88113780269442,"40 tentacle tip 2.txt",76,251069,0.807980639384752,114,51,35,0.447368421052632,63,35.3014607994533,0.000366870433585436,15.6985392005467,251069,0.133005061809166,1244,644,798,600,385.219449425613,0.00400339315245861,214.780550574387,78.6985392005467,10.1126269513305,858.780550574387,173.468201871864,0.30966193683731,"True","True",79,446,0.154830968418655,17.6507303997266,96.3492696002733,192.609724712807,1051.39027528719,20.1769786640151,394.419248029582
"77","40 tentacle tip 3.txt",77,77,1,306933,55184.094,1864560,267848,87633707008,46999.672,6255.729,49315,8558,59571,293.353,725.309,8,72.986,34.342,71.656,304.384,721.973,8.009,5,530,1,588,451,15,396765,5580,391185,1.27449638846263,"40 tentacle tip 3.txt",77,170944,0.55694239459426,130,43,26,0.330769230769231,87,27.2740217531214,0.000423545203676372,15.7259782468786,170944,0.0916806109752435,1115,737,840,378,233.927186574849,0.00363271463153196,144.072813425151,102.725978246879,11.4749083429354,881.072813425151,112.291386212539,0.209800167331703,"True","True",104,275,0.104900083665851,13.6370108765607,116.362989123439,116.963593287424,998.036406712576,12.5214974936464,238.556950530674
"78","47 tentacle base 1.txt",78,78,1,357892.281,59541.449,2174128,292080,88292982784,40610.758,9665.031,42235,10004,59359,442.439,260.483,8.5,68.282,30.311,65.466,448.066,258.924,8.501,217,5,1,445,551,16,839335,10376,828959,2.31622486431888,"47 tentacle base 1.txt",78,335291,0.936848928574685,169,65,29,0.384615384615385,104,64.4369011392154,0.000472209122610275,0.563098860784649,335291,0.154218610863758,1489,765,1008,724,567.731040214744,0.00416046972524674,156.268959785256,104.563098860785,0.00795321842546303,921.268959785256,69.5202078561326,0.381283438693582,"False","True",140,481,0.190641719346791,32.2184505696077,136.781549430392,283.865520107372,1205.13447989263,0.397235653910958,169.149891864526
"79","47 tentacle base 2.txt",79,79,1,408359.688,64276.184,2480708,310118,106453983232,42912.742,9067.106,46027,9595,58935,554.855,573.832,8.961,63.514,23.414,65.659,555.603,575.393,9.023,285,324,1,560,481,17,779113,6597,772516,1.89175382071504,"47 tentacle base 2.txt",79,318080,0.778921155410423,125,43,20,0.344,82,38.9261855889528,0.000306102692487119,4.07381441104717,318080,0.128221459357571,1569,985,1209,584,488.601481512536,0.00384220099609832,95.3985184874641,86.0738144110472,0.619155300210599,1080.39851848746,27.0500109150285,0.311409484711623,"False","True",105,360,0.155704742355811,19.4630927944764,105.536907205524,244.300740756268,1324.69925924373,0.0175425313661512,64.8996004564625
"80","47 tentacle base 3.txt",80,80,1,365828.656,62473.941,2222340,314044,92865036288,41787.051,9615.697,44228,10368,58213,274.54,361.837,8.03,65.378,25.385,66.035,274.131,363.854,8.003,53,108,1,476,492,15,873277,10846,862431,2.35747251030001,"47 tentacle base 3.txt",80,342421,0.936014700827592,130,60,27,0.461538461538462,70,50.4495396743973,0.000355357618567748,9.55046032560274,342421,0.154081283691964,1502,776,1064,726,582.886219930344,0.00410574725452891,143.113780069656,79.5504603256027,2.95455485029714,919.113780069656,57.4221927715825,0.388073382110748,"False","True",103,438,0.194036691055374,25.2247698371986,104.775230162801,291.443109965172,1210.55689003483,0.155012547382751,91.4415159663904
"81","47 tentacle middle 1.txt",81,81,1,397570.875,66065.266,2415168,326270,96615153664,40003.492,10379.744,41412,9481,60102,369.993,421.954,8.537,81.911,39.195,80.291,373.023,430.641,8.485,190,40,1,306,785,16,963709,14469,949240,2.38759944374698,"47 tentacle middle 1.txt",81,383442,0.964461996870369,201,89,35,0.442786069651741,112,78.9995727005326,0.000505570233231999,10.0004272994674,383442,0.15876411081962,1548,754,1014,794,608.414619604102,0.00389364537832405,185.585380395898,122.000427299467,2.08567712211188,939.585380395898,93.265835970934,0.39303270000265,"False","True",166,534,0.196516350001325,39.4997863502663,161.500213649734,304.207309802051,1243.79269019795,0.637987247112753,216.03580208882
"82","47 tentacle middle 2.txt",82,82,1,360984.875,57403.875,2192915,277130,89642721280,40878.34,9681.475,43414,10622,59259,740.064,701.965,8.941,61.05,23.156,62.221,741.12,709.291,9.003,565,441,1,416,521,17,746777,5280,741497,2.05409437168247,"47 tentacle middle 2.txt",82,289950,0.803219248451892,108,48,18,0.444444444444444,60,36.5183675609862,0.00029918151002864,11.4816324390138,289950,0.132221267126177,1340,733,954,607,453.098264182606,0.00371206688368869,153.901735817394,71.4816324390138,5.4541266363045,886.901735817394,78.981237005553,0.338133032972094,"True","True",90,386,0.169066516486047,18.2591837804931,89.7408162195069,226.549132091303,1113.4508679087,0.0044275963514153,135.059492192595
"83","47 tentacle middle 3.txt",83,83,1,323456.969,56295.156,1964940,280738,78919606272,40163.875,10590.801,41971,9350,58571,225.346,256.832,8,66.049,28.536,63.944,225.095,254.693,7.991,49,14,1,352,576,15,735104,7990,727114,2.24794661944662,"47 tentacle middle 3.txt",83,306304,0.9469698579906,134,58,20,0.432835820895522,76,49.5858784492147,0.000414274580060138,8.41412155078527,306304,0.155884658055717,1410,797,1024,613,521.761855323827,0.00435915789466264,91.2381446761733,84.4141215507853,2.26646618888212,888.238144676173,25.3262131638737,0.370043869023991,"False","True",114,386,0.185021934511995,24.7929392246074,109.207060775393,260.880927661913,1149.11907233809,1.13692000466383,73.6306748992275
"84","47 tentacle tip 1.txt",84,84,1,506566.531,82249.023,3077296,417142,119690887168,38894.824,11318.541,39947,9752,58699,791.006,530.293,8.544,108.585,56.285,106.817,790.776,525.055,8.494,684,4,1,234,1010,16,1174172,25332,1148840,2.26789558665099,"47 tentacle tip 1.txt",84,484294,0.956032367641754,199,68,43,0.341708542713568,131,74.2922227825988,0.000392840797450947,-6.29222278259876,484294,0.157376475971112,1897,952,1245,945,708.202746827085,0.00374481905911782,236.797253172915,124.707777217401,0.850402184807504,1188.79725317292,126.344183079242,0.373327752676376,"False","True",156,652,0.186663876338188,37.1461113912994,161.853888608701,354.101373413542,1542.89862658646,1.13424138685023,308.133792444197
"85","47 tentacle tip 2.txt",85,85,1,389120.406,63687.488,2363833,302608,96143933440,40672.895,10528.546,43577,9803,60056,739.796,478.321,8.941,83.552,40.555,82.578,728.38,454.634,8.994,485,140,1,479,682,17,687983,15386,672597,1.72850611180746,"47 tentacle tip 2.txt",85,277894,0.714159411110401,137,55,21,0.401459854014599,82,38.9815139225148,0.000352076112914006,16.0184860774852,277894,0.117560758310761,1495,855,1068,640,425.382213971968,0.00384199845844116,214.617786028032,98.0184860774852,9.20019031288724,1069.61778602803,151.343812576524,0.284536597974561,"True","True",116,427,0.14226829898728,19.4907569612574,117.509243038743,212.691106985984,1282.30889301402,0.136250528376586,251.755862707112
"86","47 tentacle tip 3.txt",86,86,1,247966.891,43741.453,1506352,203974,62746804224,41654.809,9807.802,45144,10690,59248,269.857,717.608,8.5,58.292,25.374,57.282,279.914,726.302,8.482,21,506,1,484,411,16,423231,6365,416866,1.68113572872114,"47 tentacle tip 3.txt",86,178255,0.718866132817708,97,39,10,0.402061855670103,58,26.8436607114406,0.000391181256533155,12.1563392885594,178255,0.118335555036273,1023,682,810,341,283.103761936121,0.0041255507776641,57.8962380638788,70.1563392885594,7.61147279415919,739.896238063879,16.37042162454,0.276738770221037,"True","True",87,213,0.138369385110519,13.4218303557203,83.5781696442797,141.551880968061,881.448119031939,1.0124744732406,41.8547578264772
"87","48 tentacle base 1.txt",87,87,1,411719.781,66263.344,2501120,335474,117636603904,47033.57,9047.796,51405,11153,59981,697.638,535.085,8.553,74.569,33.149,72.27,704.773,535.683,8.51,368,365,1,648,336,16,418117,1307,416810,1.01236330930624,"48 tentacle base 1.txt",87,198579,0.482315907964597,93,9,2,0.0967741935483871,84,15.4983887218526,0.000225881787302321,-6.49838872185261,198579,0.0793960305783009,1823,1503,1652,320,303.80174881653,0.00442776879841,16.1982511834698,77.5016112781474,3.26961818692646,1519.19825118347,1.03637804881121,0.166649341095189,"False","False",91,171,0.0833246705475947,7.7491943609263,85.2508056390737,151.900874408265,1671.09912559173,4.65309462914536,2.61969753800322
"88","48 tentacle base 2.txt",88,88,1,573568.438,86683.234,3484320,441075,161721090048,46413.961,8787.248,50714,9704,60555,159.596,578.435,8.959,92.908,46.079,87.007,161.114,587.996,9.078,8,110,1,308,879,17,557607,4160,553447,0.964918854199575,"48 tentacle base 2.txt",88,266329,0.464336916669742,146,19,5,0.13013698630137,127,23.1905399044864,0.000254546781739061,-4.19053990448639,266329,0.0764364352298296,2255,1843,2022,412,358.182654004225,0.00393152734809303,53.8173459957754,122.809460095514,0.900223063363966,1896.81734599578,9.61304636579693,0.15883931441429,"False","True",141,233,0.0794196572071452,11.5952699522432,134.404730047757,179.091327002112,2075.90867299789,4.07495288477134,17.6271066188566
"89","48 tentacle base 3.txt",89,89,1,509195.094,81575.812,3093264,408526,133129011200,43038.359,10103.015,47737,10438,60041,344.699,690.376,8.542,77.174,32.043,75.572,344.564,692.285,8.535,14,422,1,624,564,16,761949,3657,758292,1.48919738020885,"48 tentacle base 3.txt",89,359635,0.706281353134954,92,20,10,0.217391304347826,72,22.5531555017612,0.000180677310296316,-2.55315550176125,359635,0.116263920570633,2006,1470,1707,536,491.756847136229,0.00393955091798273,44.2431528637711,69.4468444982388,0.382897498488177,1514.24315286377,5.27323384485965,0.245142994584361,"False","True",82,299,0.122571497292181,11.2765777508806,80.7234222491194,245.878423568114,1760.12157643189,0.164704507659567,13.0800604527999
"90","48 tentacle middle 1.txt",90,90,1,496770.844,78132.617,3017789,386699,141414809600,46860.402,9272.085,51240,11467,60601,450.547,483.61,9,96.24,48.697,93.792,445.027,485,9.017,64,341,1,884,360,17,462946,2586,460360,0.926704949697088,"48 tentacle middle 1.txt",90,222889,0.448675687577188,115,12,4,0.104347826086957,103,17.5431085473504,0.000231495067371546,-5.5431085473504,222889,0.0738583777726011,2253,1887,2050,366,343.692378758091,0.00453529031989647,22.3076212419092,97.4568914526496,2.06673836536764,1909.30762124191,1.7085272415994,0.15254876997696,"False","False",111,203,0.07627438498848,8.7715542736752,106.228445726325,171.846189379045,2081.15381062095,2.80996036635329,6.11419742820719
"91","48 tentacle middle 2.txt",91,91,1,618228.75,94029.625,3755623,478168,172550799360,45944.652,9117.331,50555,10829,60365,186.386,515.65,8.941,109.952,55.854,107.983,188.385,511.801,9.083,26,22,1,318,996,17,546614,3785,542829,0.878039075342258,"48 tentacle middle 2.txt",91,267531,0.432737882215927,273,44,14,0.161172161172161,229,39.458784068582,0.000441584122381885,4.54121593141804,267531,0.071234785813166,2522,2059,2264,463,364.524005204995,0.00407939617819456,98.4759947950047,233.541215931418,0.610941627232831,2157.475994795,31.098090993936,0.144537670580886,"False","True",259,258,0.0722688352904432,19.729392034291,253.270607965709,182.262002602498,2339.7379973975,1.79341679044092,33.9241794421165
"92","48 tentacle middle 3.txt",92,92,1,344289.375,55191.48,2091493,268213,86099468288,41166.512,10888.308,45078,10527,59164,369.234,724.517,8.942,69.179,31.473,67.208,369.451,727.114,9.001,196,394,1,336,619,17,562763,10356,552407,1.60448459961914,"48 tentacle middle 3.txt",92,256089,0.743819062089848,65,23,13,0.353846153846154,42,17.1678580803283,0.000188794673085686,5.83214191967173,256089,0.12244315424436,1338,923,1099,415,353.393755561219,0.00388626573213304,61.6062444387813,47.8321419196717,2.69236279373853,984.606244438781,14.5943287792703,0.264120893543512,"False","True",52,239,0.132060446771756,8.58392904016413,56.4160709598359,176.696877780609,1161.30312221939,2.61755904793077,25.3105315814286
"93","48 tentacle tip 1.txt",93,93,1,354968.25,59503.348,2156365,279535,97113006080,45035.516,9445.354,48671,11262,61268,563.183,503.922,8.941,87.09,42.247,87.452,566.084,505.13,8.989,189,336,1,748,397,17,377171,4146,373025,1.05086863402572,"48 tentacle tip 1.txt",93,171832,0.484077097036143,104,21,8,0.201923076923077,83,17.9907390446423,0.000292983949972991,3.00926095535774,171832,0.0796859529810584,1490,1202,1342,288,257.751934389586,0.00419755851403611,30.2480656104138,86.0092609553577,0.608637657903084,1232.24806561041,4.29221435621271,0.172987875429252,"False","True",96,148,0.0864939377146262,8.99536952232113,95.0046304776789,128.875967194793,1361.12403280521,0.120569715237286,3.10653026191703
"94","48 tentacle tip 2.txt",94,94,1,539542.062,89005.727,3277616,442770,151763419136,46302.988,8433.461,49487,10538,60641,560.404,510.347,8.519,113.1,57.584,112.447,566.536,524.352,8.52,306,14,1,444,1003,16,410459,3877,406582,0.753568680990065,"48 tentacle tip 2.txt",94,200362,0.37135566272125,161,30,9,0.186335403726708,131,19.9717422663302,0.000298401202314418,10.0282577336698,200362,0.0611304069787309,2166,1801,1959,365,268.688159930877,0.00401451555411819,96.3118400691234,141.02825773367,5.7485029256882,1897.31184006912,39.4121899090826,0.124048088610746,"True","True",152,207,0.0620240443053732,9.98587113316508,151.014128866835,134.344079965438,2031.65592003456,0.103767806843796,41.8920655050275
"95","48 tentacle tip 3.txt",95,95,1,581135.438,93170.805,3530288,446588,166235652096,47088.41,7815.593,49820,11118,60451,577.622,518.532,8.954,111.124,56.287,109.285,586.943,526.505,9.037,214,61,1,739,873,17,374471,2296,372175,0.64042730087302,"48 tentacle tip 3.txt",95,165965,0.285587470919301,168,25,14,0.148809523809524,143,17.711132916068,0.00028908923637178,7.28886708393196,165965,0.0470117452173874,2047,1752,1880,295,215.801720709472,0.00352241468364901,79.1982792905281,150.288867083932,3.3531747736042,1831.19827929053,32.4906993707342,0.105423410214691,"False","True",154,167,0.0527117051073454,8.85556645803402,159.144433541966,107.900860354736,1939.09913964526,3.15483466916114,34.1708072369376
